"Bus","No","Time (abs)","State","ID (hex)","DLC","Data (hex)","ASCII"
"USB-to-CAN compact  CAN-1","48","20:54:45.662","      ","601","8","40 08 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","49","20:54:45.663","      ","581","8","80 08 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","50","20:54:45.663","      ","601","8","40 09 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","51","20:54:45.664","      ","581","8","80 09 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","52","20:54:45.664","      ","601","8","40 0A 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","53","20:54:45.665","      ","581","8","80 0A 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","54","20:54:45.665","      ","601","8","40 0B 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","55","20:54:45.666","      ","581","8","80 0B 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","56","20:54:45.666","      ","601","8","40 0C 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","57","20:54:45.667","      ","581","8","80 0C 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","58","20:54:45.667","      ","601","8","40 0D 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","59","20:54:45.668","      ","581","8","80 0D 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","60","20:54:45.668","      ","601","8","40 0E 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","61","20:54:45.669","      ","581","8","80 0E 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","62","20:54:45.669","      ","601","8","40 0F 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","63","20:54:45.670","      ","581","8","80 0F 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","64","20:54:45.670","      ","601","8","40 10 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","65","20:54:45.671","      ","581","8","80 10 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","66","20:54:45.671","      ","601","8","40 11 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","67","20:54:45.672","      ","581","8","80 11 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","68","20:54:45.672","      ","601","8","40 12 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","69","20:54:45.673","      ","581","8","80 12 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","70","20:54:45.673","      ","601","8","40 13 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","71","20:54:45.674","      ","581","8","80 13 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","72","20:54:45.674","      ","601","8","40 14 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","73","20:54:45.675","      ","581","8","80 14 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","74","20:54:45.675","      ","601","8","40 15 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","75","20:54:45.676","      ","581","8","80 15 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","76","20:54:45.676","      ","601","8","40 16 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","77","20:54:45.677","      ","581","8","80 16 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","78","20:54:45.677","      ","601","8","40 17 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","79","20:54:45.678","      ","581","8","80 17 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","80","20:54:45.678","      ","601","8","40 18 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","81","20:54:45.679","      ","581","8","80 18 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","82","20:54:45.679","      ","601","8","40 19 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","83","20:54:45.680","      ","581","8","80 19 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","84","20:54:45.680","      ","601","8","40 1A 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","85","20:54:45.681","      ","581","8","80 1A 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","86","20:54:45.681","      ","601","8","40 1B 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","87","20:54:45.682","      ","581","8","80 1B 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","88","20:54:45.682","      ","601","8","40 1C 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","89","20:54:45.683","      ","581","8","80 1C 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","90","20:54:45.683","      ","601","8","40 1D 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","91","20:54:45.684","      ","581","8","80 1D 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","92","20:54:45.684","      ","601","8","40 1E 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","93","20:54:45.685","      ","581","8","80 1E 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","94","20:54:45.685","      ","601","8","40 1F 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","95","20:54:45.686","      ","581","8","80 1F 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","96","20:54:45.686","      ","601","8","40 00 18 01 00 00 00 00","@......."
